Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	Gene name	HGNC symbol	UniProtKB/Swiss-Prot ID
ENSG00000183632	ENSG00000183632.15	102723655	TP53TG3	TP53TG3	Q9ULZ0
ENSG00000183632	ENSG00000183632.15	729355	TP53TG3	TP53TG3	Q9ULZ0
ENSG00000183632	ENSG00000183632.15	729264	TP53TG3	TP53TG3	Q9ULZ0
ENSG00000183632	ENSG00000183632.15	24150	TP53TG3	TP53TG3	Q9ULZ0
ENSG00000284484	ENSG00000284484.1	112268164	CPHXL2	CPHXL2	A0A1W2PPK0
ENSG00000125170	ENSG00000125170.11	55715	DOK4	DOK4	Q8TEW6
ENSG00000173401	ENSG00000173401.10	256710	GLIPR1L1	GLIPR1L1	Q6UWM5
ENSG00000117020	ENSG00000117020.19	10000	AKT3	AKT3	Q9Y243
ENSG00000239382	ENSG00000239382.11	84964	ALKBH6	ALKBH6	Q3KRA9
ENSG00000180481	ENSG00000180481.11	144321	GLIPR1L2	GLIPR1L2	Q4G1C9
ENSG00000204681	ENSG00000204681.11	2550	GABBR1	GABBR1	Q9UBS5
ENSG00000139278	ENSG00000139278.10	11010	GLIPR1	GLIPR1	P48060
ENSG00000244623	ENSG00000244623.2	81392	OR2AE1	OR2AE1	Q8NHA4
ENSG00000234719	ENSG00000234719.9	729978	NPIPB2	NPIPB2	A6NJ64
ENSG00000111615	ENSG00000111615.14	11103	KRR1	KRR1	Q13601
ENSG00000075790	ENSG00000075790.12	55973	BCAP29	BCAP29	Q9UHQ4
ENSG00000181019	ENSG00000181019.13	1728	NQO1	NQO1	P15559
ENSG00000130159	ENSG00000130159.15	51295	ECSIT	ECSIT	Q9BQ95
ENSG00000179626	ENSG00000179626.4	341418	OR6C4	OR6C4	Q8NGE1
ENSG00000138395	ENSG00000138395.17	65061	CDK15	CDK15	Q96Q40
ENSG00000141101	ENSG00000141101.13	28987	NOB1	NOB1	Q9ULX3
ENSG00000183303	ENSG00000183303.3	120065	OR5P2	OR5P2	Q8WZ92
ENSG00000065361	ENSG00000065361.17	2065	ERBB3	ERBB3	P21860
ENSG00000108641	ENSG00000108641.20	27077	B9D1	B9D1	Q9UPM9
ENSG00000168040	ENSG00000168040.5	8772	FADD	FADD	Q13158
ENSG00000283703	ENSG00000283703.3	338667	VSIG10L2	VSIG10L2	P0DP72
ENSG00000187037	ENSG00000187037.9	353345	GPR141	GPR141	Q7Z602
ENSG00000131620	ENSG00000131620.18	55107	ANO1	ANO1	Q5XXA6
ENSG00000077348	ENSG00000077348.10	56915	EXOSC5	EXOSC5	Q9NQT4
ENSG00000102908	ENSG00000102908.23	10725	NFAT5	NFAT5	O94916
ENSG00000086289	ENSG00000086289.13	54749	EPDR1	EPDR1	Q9UM22
ENSG00000198912	ENSG00000198912.12	339448	C1orf174	C1orf174	Q8IYL3
ENSG00000183019	ENSG00000183019.8	199675	MCEMP1	MCEMP1	Q8IX19
ENSG00000086288	ENSG00000086288.12	51314	NME8	NME8	Q8N427
ENSG00000183856	ENSG00000183856.11	128239	IQGAP3	IQGAP3	Q86VI3
ENSG00000142459	ENSG00000142459.9	115704	EVI5L	EVI5L	Q96CN4
ENSG00000175711	ENSG00000175711.9	128966610	B3GNTL1	B3GNTL1	Q67FW5
ENSG00000175711	ENSG00000175711.9	146712	B3GNTL1	B3GNTL1	Q67FW5
ENSG00000003393	ENSG00000003393.16	57679	ALS2	ALS2	Q96Q42
ENSG00000131558	ENSG00000131558.15	60412	EXOC4	EXOC4	Q96A65
ENSG00000066044	ENSG00000066044.15	1994	ELAVL1	ELAVL1	Q15717
ENSG00000144857	ENSG00000144857.15	91653	BOC	BOC	Q9BWV1
ENSG00000130477	ENSG00000130477.16	23025	UNC13A	UNC13A	Q9UPW8
ENSG00000110203	ENSG00000110203.10	2352	FOLR3	FOLR3	P41439
ENSG00000072657	ENSG00000072657.10	29953	TRHDE	TRHDE	Q9UKU6
ENSG00000163382	ENSG00000163382.13	128240	NAXE	NAXE	Q8NCW5
ENSG00000160613	ENSG00000160613.15	9159	PCSK7	PCSK7	Q16549
ENSG00000180616	ENSG00000180616.9	6752	SSTR2	SSTR2	P30874
ENSG00000166685	ENSG00000166685.13	9382	COG1	COG1	Q8WTW3
ENSG00000085514	ENSG00000085514.16	29992	PILRA	PILRA	Q9UKJ1
ENSG00000177311	ENSG00000177311.12	253461	ZBTB38	ZBTB38	Q8NAP3
ENSG00000187857	ENSG00000187857.5	390323	OR6C75	OR6C75	A6NL08
ENSG00000185821	ENSG00000185821.3	390326	OR6C76	OR6C76	A6NM76
ENSG00000132702	ENSG00000132702.13	60484	HAPLN2	HAPLN2	Q9GZV7
ENSG00000188324	ENSG00000188324.4	283365	OR6C6	OR6C6	A6NF89
ENSG00000139223	ENSG00000139223.4	23519	ANP32D	ANP32D	O95626
ENSG00000177627	ENSG00000177627.11	121273	C12orf54	C12orf54	Q6X4T0
ENSG00000141219	ENSG00000141219.16	55028	C17orf80	C17orf80	Q9BSJ5
ENSG00000130479	ENSG00000130479.11	55201	MAP1S	MAP1S	Q66K74
ENSG00000132692	ENSG00000132692.19	63827	BCAN	BCAN	Q96GW7
ENSG00000167531	ENSG00000167531.6	3906	LALBA	LALBA	P00709
ENSG00000106246	ENSG00000106246.18	26024	PTCD1	PTCD1	O75127
ENSG00000123307	ENSG00000123307.4	58158	NEUROD4	NEUROD4	Q9HD90
ENSG00000111266	ENSG00000111266.9	80824	DUSP16	DUSP16	Q9BY84
ENSG00000187959	ENSG00000187959.9	642843	CPSF4L	CPSF4L	A6NMK7
ENSG00000110367	ENSG00000110367.14	1656	DDX6	DDX6	P26196
ENSG00000174990	ENSG00000174990.8	763	CA5A	CA5A	P35218
ENSG00000179604	ENSG00000179604.10	23580	CDC42EP4	CDC42EP4	Q9H3Q1
ENSG00000163946	ENSG00000163946.14	23272	TASOR	TASOR	Q9UK61
ENSG00000133193	ENSG00000133193.13	84923	FAM104A	FAM104A	Q969W3
ENSG00000164818	ENSG00000164818.16	54919	DNAAF5	DNAAF5	Q86Y56
ENSG00000013583	ENSG00000013583.10	50865	HEBP1	HEBP1	Q9NRV9
ENSG00000132688	ENSG00000132688.11	10763	NES	NES	P48681
ENSG00000143320	ENSG00000143320.9	1382	CRABP2	CRABP2	P29373
ENSG00000172530	ENSG00000172530.22	54971	BANP	BANP	Q8N9N5
ENSG00000183077	ENSG00000183077.16	125061	AFMID	AFMID	Q63HM1
ENSG00000180219	ENSG00000180219.2	196472	GARIN6	GARIN6	Q8NEG0
ENSG00000188191	ENSG00000188191.16	5575	PRKAR1B	PRKAR1B	P31321
ENSG00000181929	ENSG00000181929.13	5571	PRKAG1	PRKAG1	P54619
ENSG00000179913	ENSG00000179913.11	10331	B3GNT3	B3GNT3	Q9Y2A9
ENSG00000143319	ENSG00000143319.17	81875	ISG20L2	ISG20L2	Q9H9L3
ENSG00000165923	ENSG00000165923.17	79841	AGBL2	AGBL2	Q5U5Z8
ENSG00000204469	ENSG00000204469.13	7916	PRRC2A	PRRC2A	P48634
ENSG00000143303	ENSG00000143303.12	51093	METTL25B	METTL25B	Q96FB5
ENSG00000248099	ENSG00000248099.4	3640	INSL3	INSL3	P51460
ENSG00000130513	ENSG00000130513.7	9518	GDF15	GDF15	Q99988
ENSG00000114124	ENSG00000114124.3	131890	GRK7	GRK7	Q8WTQ7
ENSG00000105656	ENSG00000105656.13	8178	ELL	ELL	P55199
ENSG00000131389	ENSG00000131389.18	6533	SLC6A6	SLC6A6	P31641
ENSG00000212657	ENSG00000212657.2	100505753	KRTAP16-1	KRTAP16-1	A8MUX0
ENSG00000189051	ENSG00000189051.6	643904	RNF222	RNF222	A6NCQ9
ENSG00000187997	ENSG00000187997.12	100141515	C17orf99	C17orf99	Q6UX52
ENSG00000143314	ENSG00000143314.12	79590	MRPL24	MRPL24	Q96A35
ENSG00000214978	ENSG00000214978.8	644070	GSG1L2	GSG1L2	A8MUP6
ENSG00000095139	ENSG00000095139.15	372	ARCN1	ARCN1	P48444
ENSG00000167699	ENSG00000167699.14	51031	GLOD4	GLOD4	Q9HC38
ENSG00000105642	ENSG00000105642.16	3780	KCNN1	KCNN1	Q92952
ENSG00000143294	ENSG00000143294.15	5546	PRCC	PRCC	Q92733
ENSG00000149196	ENSG00000149196.17	51501	HIKESHI	HIKESHI	Q53FT3
ENSG00000128573	ENSG00000128573.28	93986	FOXP2	FOXP2	O15409
ENSG00000027869	ENSG00000027869.12	9047	SH2D2A	SH2D2A	Q9NP31
ENSG00000111276	ENSG00000111276.12	1027	CDKN1B	CDKN1B	P46527
ENSG00000188729	ENSG00000188729.7	344901	OSTN	OSTN	P61366
ENSG00000089248	ENSG00000089248.7	10961	ERP29	ERP29	P30040
ENSG00000183914	ENSG00000183914.15	146754	DNAH2	DNAH2	Q9P225
ENSG00000152822	ENSG00000152822.15	2911	GRM1	GRM1	Q13255
ENSG00000123091	ENSG00000123091.5	26994	RNF11	RNF11	Q9Y3C5
ENSG00000167992	ENSG00000167992.14	220001	VWCE	VWCE	Q96DN2
ENSG00000183647	ENSG00000183647.11	348327	ZNF530	ZNF530	Q6P9A1
ENSG00000206560	ENSG00000206560.12	23243	ANKRD28	ANKRD28	O15084
ENSG00000166704	ENSG00000166704.13	80095	ZNF606	ZNF606	Q8WXB4
ENSG00000111300	ENSG00000111300.10	80018	NAA25	NAA25	Q14CX7
ENSG00000166546	ENSG00000166546.15	146227	BEAN1	BEAN1	Q3B7T3
ENSG00000186017	ENSG00000186017.16	84924	ZNF566	ZNF566	Q969W8
ENSG00000237330	ENSG00000237330.3	401934	RNF223	RNF223	E7ERA6
ENSG00000131732	ENSG00000131732.12	84240	ZCCHC9	ZCCHC9	Q8N567
ENSG00000137497	ENSG00000137497.19	4926	NUMA1	NUMA1	Q14980
ENSG00000187555	ENSG00000187555.17	7874	USP7	USP7	Q93009
ENSG00000131591	ENSG00000131591.18	54991	C1orf159	C1orf159	Q96HA4
ENSG00000133195	ENSG00000133195.12	201266	SLC39A11	SLC39A11	Q8N1S5
ENSG00000197647	ENSG00000197647.13	163059	ZNF433	ZNF433	Q8N7K0
ENSG00000172497	ENSG00000172497.9	134526	ACOT12	ACOT12	Q8WYK0
ENSG00000118508	ENSG00000118508.5	10981	RAB32	RAB32	Q13637
ENSG00000131126	ENSG00000131126.19	83639	TEX101	TEX101	Q9BY14
ENSG00000118418	ENSG00000118418.16	9324	HMGN3	HMGN3	Q15651
ENSG00000135148	ENSG00000135148.12	10906	TRAFD1	TRAFD1	O14545
ENSG00000124466	ENSG00000124466.9	27076	LYPD3	LYPD3	O95274
ENSG00000170291	ENSG00000170291.16	23587	ELP5	ELP5	Q8TE02
ENSG00000168386	ENSG00000168386.19	11259	FILIP1L	FILIP1L	Q4L180
ENSG00000145687	ENSG00000145687.17	23635	SSBP2	SSBP2	P81877
ENSG00000176531	ENSG00000176531.11	653583	PHLDB3	PHLDB3	Q6NSJ2
ENSG00000181789	ENSG00000181789.14	22820	COPG1	COPG1	Q9Y678
ENSG00000206503	ENSG00000206503.14	3105	HLA-A	HLA-A	P04439
ENSG00000105755	ENSG00000105755.8	23474	ETHE1	ETHE1	O95571
ENSG00000174749	ENSG00000174749.6	132720	FAM241A	FAM241A	Q8N8J7
ENSG00000085831	ENSG00000085831.16	22996	TTC39A	TTC39A	Q5SRH9
ENSG00000163623	ENSG00000163623.10	4825	NKX6-1	NKX6-1	P78426
ENSG00000183624	ENSG00000183624.14	56941	HMCES	HMCES	Q96FZ2
ENSG00000176472	ENSG00000176472.11	284346	ZNF575	ZNF575	Q86XF7
ENSG00000163624	ENSG00000163624.6	1040	CDS1	CDS1	Q92903
ENSG00000183318	ENSG00000183318.12	388333	SPDYE4	SPDYE4	A6NLX3
ENSG00000134815	ENSG00000134815.19	9704	DHX34	DHX34	Q14147
ENSG00000055483	ENSG00000055483.20	57602	USP36	USP36	Q9P275
ENSG00000183336	ENSG00000183336.9	552900	BOLA2	BOLA2	Q9H3K6
ENSG00000163625	ENSG00000163625.17	23001	WDFY3	WDFY3	Q8IZQ1
ENSG00000102898	ENSG00000102898.13	10204	NUTF2	NUTF2	P61970
