feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
GABPB1,VPS26A,171.34059,90.71535,0,0
BAZ1B,KLHL9,204.79227,90.64539,0,0
ADAM10,APBB2,168.57904,90.61251,1,0
MSH6,TLE3,183.13658,90.52789,0,0
MSH6,TTF1,183.10321,90.49452,0,0
HMGCR,TXNDC9,144.03505,90.44704,0,0
VAMP7,ANXA7,172.44336,90.42795,0,0
CNOT4,IGF1R,123.94071,90.26671,0,0
NOSIP,CCDC85B,130.99595,90.24212,0,0
CPNE3,CLCN3,139.36943,90.17847,0,0
ERCC5,NVL,151.23423,90.16823,0,0
ZW10,VPS26A,203.57686,90.1482,0,0
B4GAT1,VDAC1,178.27499,90.09164,0,0
ZNF586,VPS26A,183.11562,90.07728,0,0
GGA2,ECD,160.62338,90.07146,0,0
PDS5A,SOX4,185.40528,90.04498,0,0
RNF167,TSPAN3,185.09226,89.90188,0,0
EIF5,NR3C1,125.21184,89.78981,0,0
CNOT4,TSPAN3,138.28162,89.77172,0,0
MYCBP2,DHX29,158.78961,89.75185,0,0
TLE3,KCTD5,131.74369,89.73192,0,0
ZMIZ1,PMM2,208.95689,89.70989,0,0
C2CD5,MRPL19,145.90941,89.70536,0,0
TMEM5,KLHL9,210.27423,89.69165,1,0
ZMIZ1,WRN,200.90133,89.6671,1,0
NSFL1C,VPS26A,176.02575,89.66152,0,0
TARS,TRAP1,155.31734,89.64798,0,0
MYC,CDCA4,214.26975,89.63616,1,0
VPS26A,UBE2L6,170.24181,89.61657,0,0
AKAP1,NAA50,203.31196,89.60811,0,0
RHOBTB1,ECD,179.64983,89.59298,0,0
DHX8,ANXA7,184.02185,89.57428,0,0
HEATR1,ANXA7,180.49869,89.556,0,0
RRP1B,PHF2,188.31528,89.53737,0,0
SLC35B1,TNFRSF21,171.28485,89.52588,0,0
FANCL,SEC24C,197.0388,89.52409,0,0
MTA1,CRELD2,155.22271,89.52066,0,0
TARS,NOLC1,167.28628,89.48799,1,0
GOLT1B,NOLC1,167.27754,89.47925,0,0
BAZ1B,APBB2,203.62002,89.47314,0,0
ELAVL1,CRKL,192.82455,89.45524,0,1
PDS5A,EAPP,176.35106,89.44264,0,0
CTCF,HEATR1,180.36881,89.42612,0,0
SLC25A46,SACM1L,215.69515,89.4086,0,0
CASK,TOPBP1,151.84542,89.40131,0,0
USP14,PPP3CA,162.69493,89.38369,1,0
MYC,RRP1B,210.36066,89.35188,1,1
PPIE,FAM69A,185.39572,89.33714,0,0
UBE2A,SEC24C,197.44776,89.32826,0,0
VPS26A,TXNRD1,193.88116,89.25649,0,0
KLHDC2,TSN,160.17881,89.20134,0,0
TM9SF3,CAT,179.47559,89.1978,0,0
SLC11A2,MRPL19,145.38368,89.17963,1,0
CTNNAL1,MRPS16,208.42364,89.17778,0,0
CNOT4,XPO7,122.29643,89.16832,0,0
TARBP1,POLG2,142.62508,89.13259,1,0
MSH6,SOX4,184.49217,89.13187,1,0
ABL1,CTNNAL1,203.70191,89.10017,0,0
CRKL,CTNNAL1,203.6821,89.08036,0,0
GGA2,TNFRSF21,170.82481,89.06584,0,0
HEATR1,TNFRSF21,179.96242,89.01973,0,0
CAMSAP2,VAMP7,150.48883,89.011,0,0
GGA2,SEC24C,159.55939,89.00747,1,0
SLC35B1,SEC24C,162.48407,88.98925,0,0
CNOT4,ERCC5,141.11112,88.95868,0,0
EPB41L2,TGDS,141.66398,88.92302,0,0
NNT,CAMSAP2,136.68957,88.9162,0,0
MRPL19,AKAP1,168.30472,88.90838,0,0
ECD,ADAM10,166.87084,88.90431,0,0
NR2F6,CCDC85B,188.34685,88.85088,1,0
ALMS1,TRIM13,148.47701,88.84619,0,0
CSNK2A2,NOLC1,166.63115,88.83286,1,1
CNOT4,KAT6A,121.92108,88.79297,0,0
DHX8,PIP4K2B,183.22771,88.78014,0,0
KIAA0922,SEC24C,168.6483,88.74524,0,0
TM9SF3,DDX10,163.44877,88.70955,0,0
TM9SF3,RAD51C,163.43418,88.69496,0,0
AARS,MRPL19,148.38106,88.65146,1,0
MRPL19,EAPP,169.70868,88.62526,0,0
GGA2,ANXA7,170.6322,88.61679,0,0
CTNNAL1,ZBTB5,203.21393,88.61219,0,0
ELOVL6,PYCR1,131.31828,88.61027,0,0
TLE3,POLG2,142.09808,88.60559,0,0
TLE3,ZNF672,137.16434,88.59255,0,0
DHX29,ANXA7,170.56771,88.5523,0,0
PHGDH,HDAC6,127.21961,88.5027,1,1
FANCL,TTF1,195.9437,88.42899,0,0
DHX29,KLHDC2,159.39964,88.42217,0,0
PDHX,CREB1,149.07623,88.41831,0,0
MSH6,PHF2,181.00028,88.39159,0,0
TOPBP1,HDGFRP3,150.79382,88.34971,0,0
MYCBP2,RAB3GAP1,158.73858,88.28403,0,0
PDS5B,CAMSAP2,116.6599,88.27787,0,0
