feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
CDC45,AKT1,332.38961,179.86143,1,0
TLK2,TUBB6,290.27836,179.81249,0,0
KEAP1,TUBB6,290.25385,179.78798,0,0
NUDCD3,MBOAT7,320.38724,179.75005,0,0
CDC45,ENOPH1,280.37186,179.72867,0,0
ITGAE,PANK2,339.46141,179.70762,0,0
TEX10,TBC1D31,297.83264,179.54095,0,0
STK10,SLC2A6,338.0202,179.51243,0,0
MTHFD2,RAP1A,333.89773,179.48987,0,0
RAD23B,BUB1B,321.7707,179.48113,0,0
STX1A,PHF2,341.40274,179.36592,0,0
CASC3,MTF2,278.68009,179.20961,0,0
UBR7,CNPY3,302.21639,179.14941,0,0
ATP11B,TOP2A,324.50521,179.14274,0,0
TXNDC9,ELOVL6,226.10886,179.11595,0,0
BID,DNTTIP2,295.37314,179.11148,0,0
FBRS,GOLIM4,320.56075,179.07673,0,0
CDC45,ACBD3,278.1765,179.06472,0,0
YBX3,APPBP2,341.94927,179.04061,0,0
DNTTIP2,CCNA2,280.38316,178.97972,0,0
ACBD3,ARL4C,279.10546,178.93217,0,0
ERCC5,CCNF,350.31349,178.89888,1,0
PSIP1,KCTD5,267.82831,178.77021,0,0
BID,TXNDC9,294.97677,178.71511,0,0
PMAIP1,SACM1L,328.71213,178.61807,0,0
MBOAT7,LRPAP1,319.22439,178.5872,0,0
TXNDC9,CNPY3,244.70589,178.554,0,0
TCERG1,PHF2,306.5529,178.53597,0,0
MBNL1,CCNF,349.93939,178.52478,0,0
MBOAT7,PJA1,324.40055,178.32806,0,0
TXLNA,NUP88,232.80064,178.32287,0,0
MTHFD2,GABPB1,332.69042,178.28256,0,0
TTF1,MTF2,289.71787,178.24977,0,0
CRKL,TUBB6,288.69357,178.2277,0,0
TPD52L2,TSN,297.43598,178.18176,0,0
PSMD5,CEP55,329.48468,178.11019,0,0
MBTPS1,KIF2C,338.35461,178.09921,0,0
JADE2,STX1A,350.01498,178.0479,0,0
BID,CMPK1,294.28753,178.02587,0,0
BIRC5,TTF1,351.51736,177.94821,0,0
CRKL,ARL4C,278.03297,177.85968,1,0
MCM3,DLGAP5,240.56496,177.8475,1,0
TES,BACE2,267.96265,177.83512,0,0
GOLIM4,MLLT11,319.25011,177.76609,0,0
CDKN1A,INTS3,323.38864,177.74283,0,0
KTN1,TUBB6,323.8691,177.71491,1,0
TP53BP2,PTPN1,258.7762,177.51063,1,0
JADE2,ITGAE,349.44173,177.47465,0,0
RRP12,YME1L1,347.09418,177.41298,0,0
ANO10,MLLT11,299.85499,177.37316,0,0
TSTA3,PNP,339.29478,177.30109,1,0
USP1,ARL4C,303.70548,177.24117,0,0
TPD52L2,PWP1,300.42568,177.18859,0,0
UFM1,KIF2C,330.7395,177.1667,0,0
MTHFD2,VAMP7,331.56153,177.15367,0,0
SENP6,CENPE,283.52675,177.07405,1,0
CDC45,TLK2,277.8671,177.05956,0,0
TXNDC9,DLGAP5,239.77066,177.0532,0,0
DYNLT3,MLLT11,321.48944,177.04687,0,0
IGF2R,MLLT11,324.44603,177.03548,0,0
TIMELESS,SMARCC1,297.5933,177.02114,1,1
ZDHHC6,ITGAE,379.89716,177.00551,0,0
CCNF,PHF2,348.39791,176.9833,0,0
TSTA3,TTF1,338.95753,176.96384,0,0
GNAS,RAP1A,324.70212,176.93355,0,0
MRPL19,CEP55,328.2777,176.90321,0,0
RAP1A,CCNA2,324.67167,176.9031,0,0
CDC45,TES,275.96618,176.8544,0,0
H2AFV,SNRPF,312.45658,176.82824,1,0
TPD52L2,YME1L1,346.49911,176.81791,0,0
TPD52L2,SCCPDH,279.40077,176.73501,1,0
BID,RTCA,292.98902,176.72736,0,0
TTF1,TOP2A,288.17039,176.70229,1,0
ATP11B,CEP55,328.01271,176.63822,0,0
TPD52L2,PCMT1,292.49181,176.62029,0,0
ITGAE,ZER1,336.35302,176.59923,0,0
PMAIP1,GOLIM4,326.65988,176.56582,0,0
SMAD3,SKIV2L,284.00894,176.52968,0,0
KIF14,TES,297.37292,176.52098,0,0
CASK,MLLT11,298.89164,176.40981,0,0
MTHFD2,SMARCC1,330.78177,176.37391,0,0
ERLIN1,TOP2A,293.64188,176.36592,0,0
DLGAP5,LSM6,267.13886,176.34931,0,0
H2AFV,TOP2A,311.97238,176.34404,1,0
CCNF,DYNLT3,347.61809,176.20348,0,0
ME2,KIF14,296.96194,176.11,0,0
BIRC5,TEX10,349.67433,176.10518,0,0
DNTTIP2,CDC45,277.48487,176.08143,0,0
TIMELESS,HEATR1,254.72302,176.00123,1,0
ARID4B,ITGAE,335.71676,175.96297,0,0
MTF2,PSIP1,265.00903,175.95093,1,0
YME1L1,CEP55,345.61745,175.93625,0,0
SMARCC1,MLLT11,298.32997,175.84814,0,0
TPD52L2,MBTPS1,336.07769,175.82229,0,0
KIF20A,ZBTB5,383.36251,175.78194,0,0
TTF1,SLC2A6,334.27205,175.76428,0,0
RRP12,XPO7,343.54217,175.74273,0,0
MTHFD2,HTATSF1,330.12354,175.71568,0,0
KIF2C,TLK2,327.49106,175.70882,1,0
SNX11,TUBB6,302.39596,175.62876,0,0
HACD3,YKT6,266.29422,175.56585,0,0
SLC5A6,TSN,335.473,175.56571,0,0
PPIF,ADO,290.06452,175.51366,0,0
CDC45,ADO,274.57764,175.46586,0,0
SLC5A6,MBTPS1,335.67214,175.41674,0,0
TM9SF3,PARN,265.2344,175.34222,0,0
CCNA2,KIAA0753,235.54753,175.19845,0,0
MRPL19,SLC5A6,335.0992,175.19191,0,0
TIMELESS,KTN1,321.34435,175.19016,0,0
KEAP1,TSTA3,337.1781,175.18441,0,0
KIF20A,TTF1,363.56847,175.17166,0,0
MBOAT7,DCTD,315.7922,175.15501,0,0
TSTA3,GADD45A,363.87873,175.01914,0,0
GOLT1B,RAD23B,317.20786,174.91829,0,0
VPS72,ARL4C,275.09126,174.91797,0,0
MTHFD2,RAB1B,329.31907,174.91121,0,0
NCOA3,PYCR1,389.94299,174.85169,0,0
GNAS,ECHDC1,323.83148,174.8244,0,0
RPF1,CCNF,346.21067,174.79606,0,0
VAPB,SLC5A6,376.32757,174.7797,0,0
YKT6,TSN,294.0001,174.74588,0,0
YBX3,TM9SF3,302.91866,174.64845,1,0
STX1A,RPF1,336.62892,174.5921,0,0
PHF2,DUSP14,271.1945,174.5689,0,0
TPD52L2,RPF1,298.19819,174.54427,0,0
NUDCD3,ARL4C,296.50148,174.53558,0,0
DHX8,ARL4C,274.59554,174.42225,0,0
TSTA3,RTCA,336.36873,174.37504,0,0
CDK2,TSN,293.58973,174.33551,0,0
POLE2,PHF2,270.91844,174.29284,0,0
DNTTIP2,BACE2,275.68985,174.28641,0,0
TOP2A,TSN,293.51681,174.26259,0,0
CD44,TM9SF2,354.17226,174.20534,0,0
NVL,PSIP1,263.21069,174.15259,0,0
DHX8,TBC1D31,266.44104,174.11944,1,0
TXLNA,TLK2,274.89868,174.09114,0,0
LRRC16A,MLLT11,296.55044,174.06861,0,0
USP1,MLLT11,300.48333,174.01902,0,0
SNX13,ATF5,411.5274,173.9263,0,0
TXNDC9,BACE2,246.94671,173.91786,0,0
TRIB3,DYNLT3,366.22545,173.89707,0,0
GOLIM4,CRELD2,328.25514,173.89099,1,0
CDK2,TLK2,274.6456,173.83806,1,0
MBTPS1,TUBB6,334.09328,173.83788,0,0
CRKL,MLLT11,296.29906,173.81723,0,0
MTHFD2,SEC24B,413.87899,173.69151,0,0
LYPLA1,CCNA2,234.03434,173.68526,0,0
PRPF4,KIF2C,325.44869,173.66645,0,0
H2AFV,KCTD5,309.25696,173.62862,0,0
TUBB6,PNP,284.08441,173.61854,0,0
RTCA,ARL4C,275.76774,173.50254,0,0
TM9SF3,CDK2,269.35243,173.49413,0,0
RAD23B,CEP55,324.85475,173.48026,0,0
CD44,PPP3CA,302.74156,173.42589,0,0
EFCAB14,SLC2A6,375.51939,173.40396,0,0
CNPY3,CSRP1,256.47917,173.30396,0,0
ADO,BACE2,264.70718,173.29461,0,0
TSPAN6,MBOAT7,332.03185,173.21119,0,0
TSPAN6,SLC5A6,333.09795,173.19066,1,0
BLMH,CDK2,296.11424,173.18698,0,0
POP4,SLC5A6,333.09244,173.18515,0,0
PPP2R3C,CDK2,277.37877,173.18272,0,0
FTSJ1,H2AFV,308.74349,173.11515,0,0
NUP85,TEX10,291.37318,173.08149,0,0
H2AFV,ENTPD6,308.66538,173.03704,0,0
